Warehouse_block,Shipment_mode,Customer_care_calls,Customer_rating,Product_Cost,Prior_purchases,Product_importance,Gender,Discount_offered,Weights_gms,Delivery_status,Delay_flag,Discount_category,Weight_Category
C,Ship,4,1,270,4,medium,F,64,3312,On Time,0,High,Medium
F,Ship,3,2,183,3,medium,F,25,2023,On Time,0,Medium,Light
D,Ship,4,1,264,3,low,F,39,3719,On Time,0,High,Medium
F,Ship,3,2,167,4,medium,M,49,1973,On Time,0,High,Light
A,Ship,5,1,219,3,low,M,14,2447,On Time,0,Medium,Light
B,Ship,4,2,225,3,low,M,52,3189,On Time,0,High,Medium
C,Ship,4,1,228,3,low,F,53,2021,On Time,0,High,Light
F,Ship,3,5,119,3,medium,M,7,1021,On Time,0,Low,Light
D,Ship,3,5,244,3,low,F,8,3154,On Time,0,Low,Medium
F,Ship,4,3,163,5,low,M,29,1349,On Time,0,Medium,Light
A,Ship,4,5,260,3,medium,M,59,3951,On Time,0,High,Medium
B,Ship,4,3,135,2,medium,F,53,1073,On Time,0,High,Light
C,Ship,5,2,167,3,medium,F,7,1939,On Time,0,Low,Light
F,Ship,4,4,233,3,medium,F,14,2522,On Time,0,Medium,Light
D,Ship,4,5,147,2,medium,F,19,1940,On Time,0,Medium,Light
F,Ship,2,4,159,2,low,F,17,1686,On Time,0,Medium,Light
A,Ship,4,2,139,3,medium,M,5,1674,On Time,0,Low,Light
B,Ship,3,1,200,2,low,F,44,2651,On Time,0,High,Light
C,Ship,4,1,221,3,low,F,3,2546,On Time,0,Low,Light
F,Ship,4,3,158,3,low,M,18,1036,On Time,0,Medium,Light
D,Ship,4,5,227,3,low,M,65,3984,On Time,0,High,Medium
F,Ship,3,3,179,3,medium,F,12,1125,On Time,0,Medium,Light
A,Ship,3,2,232,3,low,F,64,3131,On Time,0,High,Medium
B,Ship,3,3,139,2,low,M,9,1177,On Time,0,Low,Light
C,Ship,6,3,195,2,medium,M,21,3869,On Time,0,Medium,Medium
F,Ship,6,2,276,6,medium,M,7,2437,On Time,0,Low,Light
D,Ship,2,5,171,3,medium,F,13,1101,On Time,0,Medium,Light
F,Ship,5,4,259,3,medium,F,43,2685,On Time,0,High,Light
A,Ship,3,2,123,4,medium,F,7,1596,On Time,0,Low,Light
B,Ship,3,2,199,4,low,F,47,2208,On Time,0,High,Light
C,Ship,4,3,226,2,low,F,32,2912,On Time,0,High,Light
F,Ship,4,2,149,3,medium,F,54,1506,On Time,0,High,Light
D,Ship,3,5,115,3,medium,M,60,1122,On Time,0,High,Light
F,Ship,3,2,243,2,medium,M,26,2719,On Time,0,Medium,Light
A,Ship,2,4,136,6,medium,M,58,1479,On Time,0,High,Light
B,Ship,3,2,180,2,low,F,6,1811,On Time,0,Low,Light
C,Ship,4,1,274,4,medium,M,57,3332,On Time,0,High,Medium
F,Ship,6,5,233,6,medium,M,48,3341,On Time,0,High,Medium
D,Ship,3,2,254,2,medium,F,2,3239,On Time,0,Low,Medium
F,Ship,4,5,153,3,high,F,3,1347,On Time,0,Low,Light
A,Ship,6,3,175,5,medium,F,64,1860,On Time,0,High,Light
B,Ship,5,2,207,2,low,F,35,2184,On Time,0,High,Light
C,Ship,3,1,153,2,low,F,6,1314,On Time,0,Low,Light
F,Ship,3,4,228,2,medium,M,65,3943,On Time,0,High,Medium
D,Ship,5,2,96,2,low,F,50,1186,On Time,0,High,Light
F,Ship,4,4,241,3,high,M,39,3798,On Time,0,High,Medium
A,Ship,5,2,249,5,high,F,28,2846,On Time,0,Medium,Light
B,Ship,3,3,188,5,low,M,25,3992,On Time,0,Medium,Medium
C,Ship,3,2,154,2,high,F,4,1009,On Time,0,Low,Light
F,Ship,4,4,226,2,high,M,53,3154,On Time,0,High,Medium
D,Ship,5,3,250,2,low,F,14,2064,On Time,0,Medium,Light
F,Ship,3,1,150,2,medium,F,46,1431,On Time,0,High,Light
A,Ship,3,5,267,2,low,F,16,2913,On Time,0,Medium,Light
B,Ship,4,3,223,3,low,M,35,2715,On Time,0,High,Light
C,Ship,4,5,192,3,medium,F,41,3873,On Time,0,High,Medium
F,Ship,3,2,143,3,low,F,58,1785,On Time,0,High,Light
D,Ship,3,5,113,2,low,F,19,1660,On Time,0,Medium,Light
F,Ship,4,1,135,3,medium,M,39,1549,On Time,0,High,Light
A,Ship,4,4,189,4,high,F,56,2646,On Time,0,High,Light
B,Ship,3,2,245,3,medium,M,13,3775,On Time,0,Medium,Medium
C,Ship,3,5,181,2,low,M,29,2217,On Time,0,Medium,Light
F,Ship,3,2,207,2,medium,F,37,2460,On Time,0,High,Light
D,Ship,3,1,169,2,medium,F,19,1183,On Time,0,Medium,Light
F,Ship,4,5,206,3,low,F,65,2598,On Time,0,High,Light
A,Ship,2,5,117,3,low,M,44,1192,On Time,0,High,Light
B,Road,2,1,115,3,high,M,42,1247,On Time,0,High,Light
C,Road,3,3,149,3,low,F,63,1196,On Time,0,High,Light
F,Road,4,5,133,3,medium,M,3,1403,On Time,0,Low,Light
D,Road,4,3,271,2,medium,M,22,2595,On Time,0,Medium,Light
F,Road,2,5,116,3,low,F,3,1688,On Time,0,Low,Light
A,Road,3,5,139,2,medium,M,64,1857,On Time,0,High,Light
B,Road,4,3,216,3,medium,M,35,2567,On Time,0,High,Light
C,Road,3,5,165,2,high,F,37,1234,On Time,0,High,Light
F,Road,6,5,286,4,low,F,31,3774,On Time,0,High,Medium
D,Road,5,3,136,3,medium,F,13,1446,On Time,0,Medium,Light
F,Road,4,5,225,4,low,M,48,2767,On Time,0,High,Light
A,Road,4,2,163,3,low,F,27,1639,On Time,0,Medium,Light
B,Road,4,3,272,4,low,M,61,2857,On Time,0,High,Light
C,Road,4,3,135,2,high,M,24,1292,On Time,0,Medium,Light
F,Road,4,5,184,3,low,F,64,3812,On Time,0,High,Medium
D,Road,4,5,219,2,medium,F,28,2164,On Time,0,Medium,Light
F,Road,3,3,249,2,medium,M,53,2323,On Time,0,High,Light
A,Road,2,3,142,3,low,F,46,1694,On Time,0,High,Light
B,Road,5,2,137,3,medium,M,47,1023,On Time,0,High,Light
C,Road,2,5,168,3,low,M,37,1717,On Time,0,High,Light
F,Road,5,5,165,3,medium,F,32,1798,On Time,0,High,Light
D,Road,3,3,199,2,low,M,4,3553,On Time,0,Low,Medium
F,Flight,3,3,246,3,low,M,27,3648,On Time,0,Medium,Medium
A,Flight,5,2,224,4,medium,M,43,2336,On Time,0,High,Light
B,Flight,5,5,216,6,low,M,54,2075,On Time,0,High,Light
C,Flight,5,3,167,2,low,M,3,1140,On Time,0,Low,Light
F,Flight,4,2,182,3,medium,M,14,3413,On Time,0,Medium,Medium
D,Flight,6,1,126,3,medium,F,37,1697,On Time,0,High,Light
F,Flight,5,1,170,3,medium,F,48,1299,On Time,0,High,Light
A,Flight,4,2,148,3,medium,M,2,1805,On Time,0,Low,Light
B,Flight,4,2,141,3,medium,M,61,1875,On Time,0,High,Light
C,Flight,5,5,169,2,medium,F,14,1497,On Time,0,Medium,Light
F,Flight,5,2,143,3,medium,M,12,1802,On Time,0,Medium,Light
D,Flight,4,5,156,3,low,F,60,1553,On Time,0,High,Light
F,Flight,5,1,241,4,medium,F,19,2193,On Time,0,Medium,Light
A,Flight,3,4,212,3,medium,F,13,2307,On Time,0,Medium,Light
B,Flight,5,3,265,3,medium,M,30,2293,On Time,0,Medium,Light
C,Flight,3,4,243,3,low,F,60,2980,On Time,0,High,Light
F,Flight,5,2,209,4,medium,M,15,3330,On Time,0,Medium,Medium
D,Flight,4,5,229,3,medium,M,21,2688,On Time,0,Medium,Light
F,Flight,3,1,257,2,low,F,45,3496,On Time,0,High,Medium
A,Flight,5,5,209,3,low,M,49,3893,On Time,0,High,Medium
B,Flight,3,3,142,3,medium,M,23,1897,On Time,0,Medium,Light
C,Flight,3,5,208,4,medium,M,12,3181,On Time,0,Medium,Medium
F,Ship,6,3,167,6,low,F,15,1278,On Time,0,Medium,Light
D,Ship,3,5,266,3,medium,M,16,2334,On Time,0,Medium,Light
F,Ship,5,3,210,2,medium,M,44,3382,On Time,0,High,Medium
A,Ship,2,2,147,2,medium,F,49,1447,On Time,0,High,Light
B,Ship,5,2,132,2,medium,M,8,1665,On Time,0,Low,Light
C,Ship,3,4,269,3,medium,F,21,3716,On Time,0,Medium,Medium
F,Ship,5,3,148,3,medium,F,48,1099,On Time,0,High,Light
D,Ship,4,5,268,2,high,M,32,3675,On Time,0,High,Medium
F,Ship,3,5,156,2,low,F,43,1301,On Time,0,High,Light
A,Ship,5,1,222,4,low,M,63,3506,On Time,0,High,Medium
B,Ship,4,5,151,3,high,F,31,1365,On Time,0,High,Light
C,Ship,3,3,236,3,low,F,28,3652,On Time,0,Medium,Medium
F,Ship,3,5,229,3,medium,F,12,3049,On Time,0,Medium,Medium
D,Ship,4,3,261,3,low,M,42,2664,On Time,0,High,Light
F,Ship,2,1,229,4,low,M,6,3757,On Time,0,Low,Medium
A,Ship,4,5,205,3,low,F,60,2317,On Time,0,High,Light
B,Ship,3,4,240,2,low,M,8,3883,On Time,0,Low,Medium
C,Ship,4,3,209,6,low,F,59,2622,On Time,0,High,Light
F,Ship,2,1,252,2,low,M,35,2526,On Time,0,High,Light
D,Ship,3,4,140,2,medium,M,48,1102,On Time,0,High,Light
F,Ship,5,4,156,2,low,F,57,1842,On Time,0,High,Light
A,Ship,2,2,190,8,medium,M,33,3448,On Time,0,High,Medium
B,Ship,3,4,138,6,medium,M,5,1853,On Time,0,Low,Light
C,Ship,5,4,243,3,low,F,35,2899,On Time,0,High,Light
F,Ship,3,1,183,2,low,M,58,3027,On Time,0,High,Medium
D,Ship,3,5,190,10,medium,M,26,3244,On Time,0,Medium,Medium
F,Ship,5,1,235,2,low,M,27,2451,On Time,0,Medium,Light
A,Ship,3,2,143,6,medium,M,63,1953,On Time,0,High,Light
B,Ship,3,1,176,2,medium,F,45,1470,On Time,0,High,Light
C,Ship,3,5,178,3,low,F,39,1498,On Time,0,High,Light
F,Ship,3,2,270,2,medium,F,59,3706,On Time,0,High,Medium
D,Ship,4,4,141,2,low,M,7,1479,On Time,0,Low,Light
F,Ship,4,3,220,3,medium,M,8,3342,On Time,0,Low,Medium
A,Ship,5,5,264,3,medium,F,56,3482,On Time,0,High,Medium
B,Ship,3,5,150,2,low,F,48,1256,On Time,0,High,Light
C,Ship,3,4,175,3,medium,M,4,1519,On Time,0,Low,Light
F,Ship,2,4,223,3,medium,F,19,3356,On Time,0,Medium,Medium
D,Ship,4,4,162,10,high,M,12,1583,On Time,0,Medium,Light
F,Ship,6,4,221,10,medium,M,42,2972,On Time,0,High,Light
A,Ship,5,1,216,3,low,M,40,2668,On Time,0,High,Light
B,Ship,5,5,133,10,medium,M,9,1724,On Time,0,Low,Light
C,Ship,4,2,191,3,high,M,3,2353,On Time,0,Low,Light
F,Ship,4,5,156,3,low,M,39,1483,On Time,0,High,Light
D,Ship,4,1,252,3,medium,F,30,2669,On Time,0,Medium,Light
F,Ship,3,5,198,3,low,M,2,3417,On Time,0,Low,Medium
A,Ship,2,3,139,8,medium,M,21,1033,On Time,0,Medium,Light
B,Ship,2,1,255,3,low,M,19,1551,On Time,0,Medium,Light
C,Ship,4,1,141,2,low,F,23,1689,On Time,0,Medium,Light
F,Ship,4,1,151,3,high,F,39,1458,On Time,0,High,Light
D,Ship,3,5,236,3,low,F,54,3976,On Time,0,High,Medium
F,Ship,3,4,229,3,medium,F,46,3223,On Time,0,High,Medium
A,Ship,4,3,261,3,low,F,6,2787,On Time,0,Low,Light
B,Ship,2,1,229,4,low,F,11,3614,On Time,0,Medium,Medium
C,Ship,4,4,205,3,low,F,58,2522,On Time,0,High,Light
F,Ship,3,4,240,2,low,F,33,3489,On Time,0,High,Medium
D,Ship,4,4,209,6,low,M,62,3532,On Time,0,High,Medium
F,Ship,2,5,252,2,low,F,21,2070,On Time,0,Medium,Light
A,Ship,3,3,140,2,medium,F,30,1547,On Time,0,Medium,Light
B,Ship,5,3,156,2,low,M,1,1147,On Time,0,Low,Light
C,Ship,2,5,190,8,medium,M,11,2976,On Time,0,Medium,Light
F,Ship,3,3,138,6,medium,M,49,1078,On Time,0,High,Light
D,Ship,5,4,243,3,low,F,43,2866,On Time,0,High,Light
F,Ship,3,5,183,2,low,F,10,2621,On Time,0,Low,Light
A,Ship,3,5,190,10,medium,M,32,2931,On Time,0,High,Light
B,Ship,5,2,235,2,low,F,61,3451,On Time,0,High,Medium
C,Ship,3,1,143,6,medium,M,2,1323,On Time,0,Low,Light
F,Ship,3,3,176,2,medium,M,34,1856,On Time,0,High,Light
D,Ship,3,1,178,3,low,F,11,1481,On Time,0,Medium,Light
F,Ship,3,5,270,2,medium,F,46,2716,On Time,0,High,Light
A,Ship,4,1,141,2,low,M,10,1340,On Time,0,Low,Light
B,Ship,4,5,220,3,medium,F,63,3109,On Time,0,High,Medium
C,Ship,5,5,264,3,medium,F,23,2837,On Time,0,Medium,Light
F,Ship,3,5,150,2,low,M,29,1934,On Time,0,Medium,Light
D,Ship,3,3,175,3,medium,F,32,1848,On Time,0,High,Light
F,Ship,2,5,223,3,medium,M,35,3437,On Time,0,High,Medium
A,Ship,4,3,162,10,high,M,25,1764,On Time,0,Medium,Light
B,Ship,6,3,221,10,medium,F,13,2219,On Time,0,Medium,Light
C,Ship,5,5,216,3,low,F,5,3137,On Time,0,Low,Medium
F,Ship,5,2,133,10,medium,M,53,1674,On Time,0,High,Light
D,Ship,4,3,191,3,high,F,45,3714,On Time,0,High,Medium
F,Ship,4,5,156,3,low,F,33,1836,On Time,0,High,Light
A,Ship,4,2,252,3,medium,F,43,3273,On Time,0,High,Medium
B,Ship,3,2,198,3,low,M,15,3250,On Time,0,Medium,Medium
C,Ship,2,4,139,8,medium,F,62,1180,On Time,0,High,Light
F,Ship,2,4,255,3,low,F,55,1663,On Time,0,High,Light
D,Ship,4,2,141,2,low,F,8,1495,On Time,0,Low,Light
F,Ship,5,2,263,2,medium,F,63,1254,On Time,0,High,Light
A,Ship,3,3,179,3,medium,F,41,1892,On Time,0,High,Light
B,Ship,4,5,212,4,low,M,21,1014,On Time,0,Medium,Light
C,Ship,2,1,282,5,low,F,51,1362,On Time,0,High,Light
F,Ship,3,5,165,3,medium,M,33,1500,On Time,0,High,Light
D,Ship,4,1,189,2,medium,F,63,3474,On Time,0,High,Medium
F,Ship,5,5,157,4,medium,M,60,1407,On Time,0,High,Light
A,Road,3,4,167,3,low,M,14,1420,On Time,0,Medium,Light
B,Road,3,1,175,2,low,M,42,1668,On Time,0,High,Light
C,Road,3,4,150,2,medium,M,64,1777,On Time,0,High,Light
F,Road,4,2,128,5,low,F,28,1247,On Time,0,Medium,Light
D,Road,5,2,236,2,low,M,24,3679,On Time,0,Medium,Medium
F,Road,4,3,162,2,medium,F,58,1708,On Time,0,High,Light
A,Road,5,4,230,2,medium,F,48,3743,On Time,0,High,Medium
B,Road,5,3,225,4,low,F,60,2130,On Time,0,High,Light
C,Road,2,2,285,2,medium,F,16,2223,On Time,0,Medium,Light
F,Road,4,5,246,2,medium,M,31,2415,On Time,0,High,Light
D,Road,4,4,196,2,low,F,6,2718,On Time,0,Low,Light
F,Road,5,4,211,6,low,M,33,3955,On Time,0,High,Medium
A,Road,3,1,197,2,low,M,4,3621,On Time,0,Low,Medium
B,Road,5,3,203,2,low,F,37,3531,On Time,0,High,Medium
C,Road,4,2,161,3,medium,F,10,1928,On Time,0,Low,Light
F,Road,5,5,266,4,medium,M,62,2201,On Time,0,High,Light
D,Road,4,1,190,3,low,F,32,2774,On Time,0,High,Light
F,Road,3,2,140,3,low,F,42,1465,On Time,0,High,Light
A,Road,4,1,274,4,medium,M,61,3402,On Time,0,High,Medium
B,Road,4,2,168,3,low,M,59,1717,On Time,0,High,Light
C,Road,3,5,189,3,low,F,61,2203,On Time,0,High,Light
F,Road,3,2,231,3,low,F,56,2714,On Time,0,High,Light
D,Flight,5,1,189,3,medium,F,14,3318,On Time,0,Medium,Medium
F,Flight,4,1,220,2,medium,M,38,2368,On Time,0,High,Light
A,Flight,5,4,190,2,medium,F,23,3960,On Time,0,Medium,Medium
B,Flight,4,2,238,3,low,M,30,3423,On Time,0,Medium,Medium
C,Flight,4,4,220,2,medium,F,33,2897,On Time,0,High,Light
F,Flight,4,5,194,2,high,M,44,2651,On Time,0,High,Light
D,Flight,3,3,203,3,medium,M,29,3261,On Time,0,Medium,Medium
F,Flight,3,5,258,3,low,M,21,3446,On Time,0,Medium,Medium
A,Flight,3,5,151,3,low,M,3,1273,On Time,0,Low,Light
B,Flight,3,2,218,3,medium,F,52,2149,On Time,0,High,Light
C,Flight,5,1,265,3,medium,M,6,2452,On Time,0,Low,Light
F,Flight,4,1,157,3,medium,M,31,1712,On Time,0,High,Light
D,Flight,4,2,214,3,medium,F,20,2009,On Time,0,Medium,Light
F,Flight,4,4,221,4,medium,M,14,2932,On Time,0,Medium,Light
A,Flight,3,2,149,2,medium,M,37,1699,On Time,0,High,Light
B,Flight,4,2,273,5,medium,F,6,2126,On Time,0,Low,Light
C,Flight,5,1,253,5,low,M,31,3836,On Time,0,High,Medium
F,Flight,3,5,102,6,medium,M,3,1341,On Time,0,Low,Light
D,Flight,4,1,258,2,low,F,56,3186,On Time,0,High,Medium
F,Flight,4,2,273,2,low,F,9,3383,On Time,0,Low,Medium
A,Flight,4,2,187,2,low,M,54,2191,On Time,0,High,Light
B,Flight,5,1,151,2,medium,F,30,1377,On Time,0,Medium,Light
C,Ship,2,4,120,2,medium,M,13,1240,On Time,0,Medium,Light
F,Ship,3,1,254,2,low,M,56,3463,On Time,0,High,Medium
D,Ship,5,3,149,3,medium,F,43,1005,On Time,0,High,Light
F,Ship,4,1,152,3,high,M,26,1464,On Time,0,Medium,Light
A,Ship,5,4,187,3,low,F,53,3172,On Time,0,High,Medium
B,Ship,4,4,170,2,low,M,34,1512,On Time,0,High,Light
C,Ship,3,3,156,3,high,F,20,1305,On Time,0,Medium,Light
F,Ship,4,5,228,2,low,M,63,3401,On Time,0,High,Medium
D,Ship,3,1,272,2,low,M,51,2719,On Time,0,High,Light
F,Ship,3,1,140,2,low,F,6,1435,On Time,0,Low,Light
A,Ship,3,5,185,2,medium,M,27,3624,On Time,0,Medium,Medium
B,Ship,5,3,167,3,low,F,5,1772,On Time,0,Low,Light
C,Ship,4,5,244,3,low,F,49,3914,On Time,0,High,Medium
F,Ship,3,4,229,6,medium,F,33,2815,On Time,0,High,Light
D,Ship,4,1,273,3,medium,F,25,3717,On Time,0,Medium,Medium
F,Ship,4,3,204,3,low,M,30,3774,On Time,0,Medium,Medium
A,Ship,4,3,154,3,medium,M,10,1711,On Time,0,Low,Light
B,Ship,3,1,254,4,low,F,33,2542,On Time,0,High,Light
C,Ship,3,2,151,3,low,M,40,1173,On Time,0,High,Light
F,Ship,3,5,242,5,medium,F,61,3688,On Time,0,High,Medium
D,Ship,4,5,137,2,medium,F,14,1796,On Time,0,Medium,Light
F,Ship,4,4,163,2,low,F,41,1634,On Time,0,High,Light
A,Ship,3,3,143,3,medium,F,16,1343,On Time,0,Medium,Light
B,Ship,4,4,196,3,low,F,11,3244,On Time,0,Medium,Medium
C,Ship,4,3,264,2,low,F,38,3877,On Time,0,High,Medium
F,Ship,4,1,217,3,medium,M,2,2692,On Time,0,Low,Light
D,Ship,3,3,124,3,medium,M,59,1959,On Time,0,High,Light
F,Ship,3,1,269,3,low,M,61,3542,On Time,0,High,Medium
A,Ship,3,1,135,4,medium,M,47,1840,On Time,0,High,Light
B,Ship,2,1,192,3,high,M,46,3206,On Time,0,High,Medium
C,Ship,4,1,274,4,medium,F,42,2430,On Time,0,High,Light
F,Ship,3,2,162,4,low,M,25,1316,On Time,0,Medium,Light
D,Ship,3,3,158,3,low,F,20,1431,On Time,0,Medium,Light
F,Ship,5,3,225,3,medium,M,59,2270,On Time,0,High,Light
A,Ship,2,5,150,3,low,F,16,1738,On Time,0,Medium,Light
B,Ship,6,3,154,5,medium,F,57,1117,On Time,0,High,Light
C,Ship,3,1,181,3,medium,M,34,3306,On Time,0,High,Medium
F,Ship,3,4,272,3,low,M,44,2548,On Time,0,High,Light
D,Ship,3,3,160,4,medium,M,58,1496,On Time,0,High,Light
F,Ship,5,5,145,3,medium,F,37,1993,On Time,0,High,Light
A,Ship,4,4,143,5,high,F,5,1027,On Time,0,Low,Light
B,Ship,4,1,201,4,medium,M,59,2925,On Time,0,High,Light
C,Ship,4,3,242,4,low,M,62,3997,On Time,0,High,Medium
F,Ship,4,4,151,2,low,F,38,1001,On Time,0,High,Light
D,Ship,4,4,199,2,medium,M,25,3705,On Time,0,Medium,Medium
F,Ship,4,1,178,3,medium,M,9,1006,On Time,0,Low,Light
A,Ship,3,2,138,3,low,M,49,1923,On Time,0,High,Light
B,Ship,5,3,162,4,medium,M,38,1407,On Time,0,High,Light
C,Ship,4,3,154,3,low,M,33,1101,On Time,0,High,Light
F,Ship,3,1,206,2,medium,F,56,2069,On Time,0,High,Light
D,Ship,5,2,246,2,low,F,4,3617,On Time,0,Low,Medium
F,Ship,4,3,233,2,medium,F,47,3606,On Time,0,High,Medium
A,Ship,4,1,251,4,medium,F,33,2906,On Time,0,High,Light
B,Ship,3,1,165,3,medium,M,61,1313,On Time,0,High,Light
C,Ship,4,3,183,2,low,F,32,3709,On Time,0,High,Medium
F,Ship,3,2,109,3,low,F,30,1597,On Time,0,Medium,Light
D,Ship,5,3,209,4,medium,F,7,2675,On Time,0,Low,Light
F,Ship,5,2,168,3,low,F,50,1486,On Time,0,High,Light
A,Ship,5,3,210,2,low,M,19,3920,On Time,0,Medium,Medium
B,Ship,3,1,185,2,low,F,41,3787,On Time,0,High,Medium
C,Ship,5,2,243,2,medium,M,58,2758,On Time,0,High,Light
F,Ship,3,4,258,3,low,F,55,2777,On Time,0,High,Light
D,Ship,4,4,279,5,medium,F,56,2697,On Time,0,High,Light
F,Ship,3,1,160,3,low,M,57,1833,On Time,0,High,Light
A,Ship,3,1,185,4,low,F,35,3648,On Time,0,High,Medium
B,Ship,4,3,271,4,low,F,24,3499,On Time,0,Medium,Medium
C,Ship,4,2,273,2,low,F,31,2229,On Time,0,High,Light
F,Ship,3,4,208,3,medium,F,23,2100,On Time,0,Medium,Light
D,Ship,2,2,137,3,low,F,20,1823,On Time,0,Medium,Light
F,Ship,4,1,198,3,medium,F,56,3135,On Time,0,High,Medium
A,Ship,5,1,236,4,high,F,64,3231,On Time,0,High,Medium
B,Ship,5,5,133,2,low,F,18,1134,On Time,0,Medium,Light
C,Ship,4,2,191,3,medium,F,12,3676,On Time,0,Medium,Medium
F,Ship,3,1,202,3,low,F,51,3551,On Time,0,High,Medium
D,Ship,5,1,162,5,low,F,47,1727,On Time,0,High,Light
F,Ship,5,1,224,2,low,F,14,2959,On Time,0,Medium,Light
A,Ship,4,2,191,2,high,M,65,3082,On Time,0,High,Medium
B,Ship,3,5,272,2,medium,M,31,2438,On Time,0,High,Light
C,Ship,4,3,269,3,low,F,7,2538,On Time,0,Low,Light
F,Ship,4,2,179,3,high,F,30,1076,On Time,0,Medium,Light
D,Ship,3,5,225,2,low,F,56,2596,On Time,0,High,Light
F,Ship,3,2,132,2,medium,M,6,1185,On Time,0,Low,Light
A,Ship,5,3,244,3,low,F,52,3118,On Time,0,High,Medium
B,Ship,3,4,185,2,low,F,62,2849,On Time,0,High,Light
C,Ship,3,3,257,3,low,M,64,3103,On Time,0,High,Medium
F,Ship,3,3,253,5,low,F,63,3788,On Time,0,High,Medium
D,Ship,4,3,174,3,low,F,5,1502,On Time,0,Low,Light
F,Ship,2,1,200,3,medium,M,34,2199,On Time,0,High,Light
A,Ship,3,1,150,3,medium,F,8,1745,On Time,0,Low,Light
B,Ship,3,2,137,3,medium,F,9,1347,On Time,0,Low,Light
C,Ship,3,1,181,3,medium,M,29,2981,On Time,0,Medium,Light
F,Ship,5,2,246,2,medium,M,13,2652,On Time,0,Medium,Light
D,Ship,3,3,237,5,low,M,48,2057,On Time,0,High,Light
F,Road,3,5,226,3,medium,M,55,2465,On Time,0,High,Light
A,Road,4,4,225,3,low,M,51,2892,On Time,0,High,Light
B,Road,3,2,268,2,low,M,20,2731,On Time,0,Medium,Light
C,Road,4,3,146,3,low,M,41,1140,On Time,0,High,Light
F,Road,4,5,159,3,low,M,2,1048,On Time,0,Low,Light
D,Road,3,1,135,3,low,F,38,1829,On Time,0,High,Light
F,Road,3,2,134,2,medium,F,45,1946,On Time,0,High,Light
A,Road,4,3,210,3,low,M,3,2742,On Time,0,Low,Light
B,Road,4,4,238,3,low,F,13,2042,On Time,0,Medium,Light
C,Road,4,3,214,4,low,M,34,3446,On Time,0,High,Medium
F,Road,4,2,204,4,low,F,35,2725,On Time,0,High,Light
D,Road,4,1,227,3,low,M,5,3100,On Time,0,Low,Medium
F,Road,4,3,253,3,high,F,18,2849,On Time,0,Medium,Light
A,Road,2,3,126,4,high,F,3,1364,On Time,0,Low,Light
B,Road,4,4,208,2,high,F,20,2759,On Time,0,Medium,Light
C,Road,4,4,179,3,low,M,48,1943,On Time,0,High,Light
F,Road,3,1,132,2,medium,M,62,1909,On Time,0,High,Light
D,Road,3,4,144,3,low,M,56,1496,On Time,0,High,Light
F,Road,3,3,236,2,medium,F,58,3360,On Time,0,High,Medium
A,Road,4,4,235,3,low,F,17,3715,On Time,0,Medium,Medium
B,Road,4,5,254,3,low,M,29,3885,On Time,0,Medium,Medium
C,Road,3,2,144,5,medium,M,43,1027,On Time,0,High,Light
F,Flight,5,1,272,3,medium,M,27,2415,On Time,0,Medium,Light
D,Flight,3,3,191,4,medium,F,17,3675,On Time,0,Medium,Medium
F,Flight,5,3,177,4,medium,M,60,1159,On Time,0,High,Light
A,Flight,5,4,226,3,low,F,46,3149,On Time,0,High,Medium
B,Flight,3,4,132,2,medium,M,12,1493,On Time,0,Medium,Light
C,Flight,3,1,121,5,low,F,60,1577,On Time,0,High,Light
F,Flight,4,2,171,3,low,F,40,1021,On Time,0,High,Light
D,Flight,3,3,178,3,high,M,12,1900,On Time,0,Medium,Light
F,Flight,4,3,132,4,medium,M,10,1767,On Time,0,Low,Light
A,Flight,6,4,249,5,medium,M,43,3078,On Time,0,High,Medium
B,Flight,2,4,159,3,medium,M,47,1547,On Time,0,High,Light
C,Flight,5,2,171,3,high,M,34,1029,On Time,0,High,Light
F,Flight,3,3,150,3,low,M,6,1775,On Time,0,Low,Light
D,Flight,4,4,178,3,low,F,1,1165,On Time,0,Low,Light
F,Flight,3,3,192,7,high,F,25,2152,On Time,0,Medium,Light
A,Flight,3,5,214,8,high,M,50,3628,On Time,0,High,Medium
B,Flight,5,3,225,7,medium,F,45,3162,On Time,0,High,Medium
C,Flight,5,4,167,7,medium,F,23,1691,On Time,0,Medium,Light
F,Flight,3,5,245,4,medium,M,4,2769,On Time,0,Low,Light
D,Flight,4,5,138,7,medium,M,60,1366,On Time,0,High,Light
F,Flight,4,4,173,3,medium,F,64,1847,On Time,0,High,Light
A,Flight,3,5,98,3,medium,F,48,1635,On Time,0,High,Light
B,Ship,3,1,231,2,low,M,44,3688,On Time,0,High,Medium
C,Ship,5,5,149,7,medium,F,50,1346,On Time,0,High,Light
F,Ship,3,1,206,3,medium,M,28,2892,On Time,0,Medium,Light
D,Ship,5,3,264,10,medium,F,34,3441,On Time,0,High,Medium
F,Ship,3,1,193,2,medium,F,23,2728,On Time,0,Medium,Light
A,Ship,5,1,263,2,medium,F,4,1092,On Time,0,Low,Light
B,Ship,3,2,191,4,medium,F,16,2277,On Time,0,Medium,Light
C,Ship,5,4,177,4,medium,M,48,1920,On Time,0,High,Light
F,Ship,5,5,226,3,low,M,50,2348,On Time,0,High,Light
D,Ship,3,1,132,2,medium,F,16,1731,On Time,0,Medium,Light
